# ABI_EXPORT_STATUS.txt — the per-symbol status taxonomy of the exported
# lean_* C surface (plan §6.5; bead franken_lean-83r slice 1, completing the
# fln-lld census join).
#
# One `row` per Linkage::Export symbol of the generated census
# (fln-rt::abi::FUNCTION_CENSUS, extracted from the pinned lean.h): there is
# no unclassified symbol. `support` rows cover non-census symbols the pin's
# LEAN_MIMALLOC lean.h inlines link-demand from generated C (mimalloc.h twins).
# tools/structure-guard (FLN-STRUCT-026) enforces the join in BOTH directions:
#   * every census Export symbol has exactly one row; stale/unknown rows fail;
#   * every #[unsafe(export_name)] site in fln-unsafe-abi names a row with an
#     implemented status; an implemented row without a site is stale; an
#     Unsupported row with a site is a lie; export attrs anywhere else fail.
#
# Row grammar (five '|'-separated fields, all non-empty):
#   row <symbol> | <status> | <site-or-owner> | <evidence> | <notes>
#   support <symbol> | <status> | <site> | <evidence> | <notes>
#   extern <symbol> | <status> | <site-or-owner> | <evidence> | <notes>
# `extern` rows are runtime symbols OUTSIDE lean.h that generated C declares
# itself (the contracts/extern_census.tsv universe, surfaced by the stage0
# demand audit); they join export sites exactly like `row`s.
# status ∈ NativeSafe | RawPlatform | CompatWrapper | ReferenceSemanticAdapter
#          | Unsupported   (§6.5; Unsupported rows carry the owning bead)

schema fln-abi-export-status/1

row lean_alloc_object | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | membrane big path (object.cpp:355-376); OOM = INTERNAL PANIC like the pin
row lean_set_exit_on_panic | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | panic-path Lean-buffered stderr + backtrace stay with fln-3gv; messages go to the process stderr
row lean_set_panic_messages | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | panic-path Lean-buffered stderr + backtrace stay with fln-3gv; messages go to the process stderr
row lean_slice_dec_lt | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_slice_hash | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_small_mem_size | RawPlatform | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | prefix word readback
row lean_st_mk_ref | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | fresh ST cell over the ledgered alloc_ref twin (io.cpp:1423-1428)
row lean_st_ref_get | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | MT exchange-dup-restore / ST fast path, token-balanced (io.cpp:1447-1472)
row lean_st_ref_reset | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_st_ref_set | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | consumes value, mark_mt before MT publication, returns unit (io.cpp:1492-1510)
row lean_st_ref_swap | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | returns old token; null ST slot is the pin's internal panic verbatim (io.cpp:1512-1527)
row lean_string_append | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export string suites (tests.rs export_*); the G0-3 plugin import census demands it | s1 owned with upstream's exclusive/shared arms and capacity laws (object.cpp:2084-2105 via string_append_core), s2 borrowed
row lean_string_compare | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_string_data | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | next_utf8 decode incl. invalid-byte fallback; consumes via dec_ref exactly as upstream
row lean_string_eq_cold | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | byte compare over m_size bytes
row lean_string_hash | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | MurmurHash64A over content bytes, seed 11 (hash.cpp:15-59, object.cpp:2450-2454)
row lean_string_lt | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_string_memcmp | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_string_mk | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | List Char UTF-8 encode via the pin's push_unicode_scalar (utf8.cpp:300-320)
row lean_string_of_usize | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export nat/name suites (tests.rs export_*); stage0 gauntlet differential | decimal ASCII string (object.cpp:2456-2458)
row lean_string_push | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_string_utf8_extract | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_string_utf8_get | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | bounds-checked scalar decode; every failure is the default char 'A' (object.cpp:2219-2245)
row lean_string_utf8_get_fast_cold | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_string_utf8_next | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_string_utf8_next_fast_cold | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_string_utf8_prev | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_string_utf8_set | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | exclusive ASCII in-place else rebuild, codepoint length preserved (object.cpp:2423-2448)
row lean_task_bind_core | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export task manager suite; stage0 gauntlet lane | Waiting task via add_dep with the bind closure; eager arm apply_1(f, get_own(x)) with no re-wrap (object.cpp:1234-1244)
row lean_task_get | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export task manager suite; stage0 gauntlet lane | Finished arm borrows m_value; unfinished arm blocks through wait_for incl. the worker cap-raise (object.cpp:1187-1203, 990-1012); managerless unreachable arm refuses typed
row lean_task_map_core | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export task manager suite; stage0 gauntlet lane | eager iff no manager or sync-and-finished, else a Waiting task via add_dep with task_map_fn — the pin's exact condition (object.cpp:1166-1185)
row lean_task_pure | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export task/promise state suite; stage0 gauntlet lane | Finished ST task, value deliberately not marked mt (object.cpp:1162-1164)
row lean_task_spawn_core | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export task manager suite; stage0 gauntlet lane | Queued task through the manager; managerless arm is the pin's eager evaluation verbatim (object.cpp:1152-1160)
row lean_thunk_get_core | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_uint16_of_big_nat | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export nat/name suites (tests.rs export_*); stage0 gauntlet differential | low-16 truncation (object.cpp:1809-1811)
row lean_uint16_once_cold | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export apply/once suites (tests.rs export_*); stage0 execution lane (marrow_stage0_gauntlet.sh) | scalar once cell
row lean_uint32_of_big_nat | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export nat/name suites (tests.rs export_*); stage0 gauntlet differential | low-32 truncation (object.cpp:1813-1815)
row lean_uint32_once_cold | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export apply/once suites (tests.rs export_*); stage0 execution lane (marrow_stage0_gauntlet.sh) | scalar once cell
row lean_uint64_of_big_nat | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export nat/name suites (tests.rs export_*); stage0 gauntlet differential | lowest limb = mpz::mod64 on non-negative (object.cpp:1817-1819)
row lean_uint64_once_cold | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export apply/once suites (tests.rs export_*); stage0 execution lane (marrow_stage0_gauntlet.sh) | scalar once cell
row lean_uint8_of_big_nat | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export nat/name suites (tests.rs export_*); stage0 gauntlet differential | low-8 truncation = mpz::mod8 on non-negative (object.cpp:1805-1807)
row lean_uint8_once_cold | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export apply/once suites (tests.rs export_*); stage0 execution lane (marrow_stage0_gauntlet.sh) | scalar once cell (object.cpp:2853-2861)
row lean_usize_of_big_nat | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export nat/name suites (tests.rs export_*); stage0 gauntlet differential | lowest limb = mpz::get_size_t (object.cpp:1825-1827, mpz.cpp:109-116)
row lean_usize_once_cold | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export apply/once suites (tests.rs export_*); stage0 execution lane (marrow_stage0_gauntlet.sh) | scalar once cell
row lean_utf8_n_strlen | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | bug-compatible get_utf8_size stepping (utf8.cpp:49-58)
row lean_utf8_strlen | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | bug-compatible get_utf8_size stepping (utf8.cpp:16-43)
support mi_free | RawPlatform | crates/fln-unsafe-abi/src/export.rs | small-heap prefix suite; gauntlet link lane | LEAN_MIMALLOC inline link demand (lean.h:436-441, 490-497); size-prefixed, mi_free null-safe
support mi_malloc_small | RawPlatform | crates/fln-unsafe-abi/src/export.rs | small-heap prefix suite; gauntlet link lane | LEAN_MIMALLOC inline link demand (lean.h:436-441, 490-497); size-prefixed, mi_free null-safe
extern lean_io_get_num_heartbeats | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export heartbeat-state suite; pinned runtime body audit | returns the allocation-linked thread-local counter as an owned Nat (io.cpp:952-955)
extern lean_io_set_heartbeats | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export heartbeat-state suite; pinned runtime body audit | consumes a Nat, installs its low 64 bits thread-locally, returns Unit (io.cpp:957-962)
extern lean_sorry | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | gauntlet panic lane; stage0 demand audit | INTERNAL PANIC per the pin; never fabricates a value (object.cpp:208-211)
extern lean_system_platform_nbits | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export platform test; gauntlet differential | boxed 64 on the certified targets (platform.cpp:12-18)
extern lean_st_ref_take | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export st_ref suites; stage0 gauntlet lane | slot token moves out, slot null until paired set (io.cpp:1474-1488; extern census ST.Prim.Ref.take)
extern lean_st_ref_ptr_eq | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export st_ref suites; stage0 gauntlet lane | cell identity, never value equality (io.cpp:1530-1532)
extern lean_system_platform_windows | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | gauntlet platform facts | compile-time target fact, 0 on the certified linux targets (platform.cpp:20-26)
extern lean_system_platform_osx | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | gauntlet platform facts | compile-time target fact, 0 on the certified linux targets (platform.cpp:28-34)
extern lean_system_platform_emscripten | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | gauntlet platform facts | compile-time target fact, 0 on the certified linux targets (platform.cpp:36-42)
extern lean_string_from_utf8_unchecked | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export byte-array roundtrip test; gauntlet differential | consumes the byte array; bug-compatible utf8_n_strlen count
extern lean_string_to_utf8 | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export byte-array roundtrip test; gauntlet differential | borrowed string to fresh sarray of m_size-1 bytes
extern lean_io_get_task_state | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export task manager suite; stage0 gauntlet lane | m_imp == NULL answers 2 pre-manager, else the locked 0/1 read (object.cpp:1260-1265, 1049-1060 via io.cpp:1579-1581; extern census IO.getTaskState); managerless unreachable arm refuses typed
extern lean_io_promise_new | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export task manager suite; gauntlet panic lane; stage0 demand audit | with the manager: an ST promise owning one Promised task (object.cpp:1280-1291); pre-manager: the pin's INTERNAL PANIC verbatim, message and exit path (object.cpp:1272-1278; extern census IO.Promise.new)
extern lean_io_promise_resolve | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export task manager suite; stage0 demand audit | resolve to some(value), first call wins, sync dependents run inline before return (object.cpp:1294-1296, 960-972; extern census IO.Promise.resolve); managerless unreachable arm refuses typed
extern lean_io_promise_result_opt | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export task manager suite; stage0 demand audit | one inc_ref of the promise's result task, the pin's body (object.cpp:1308-1312; extern census IO.Promise.result?); managerless unreachable arm refuses typed
extern lean_option_get_or_block | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export task/promise state suite; gauntlet panic lane | some-arm steal per option_ref; none is the pin's PANIC then forever-sleep (io.cpp:1627-1639; extern census Option.getOrBlock!)
